2025-04-02 10:00:10,680 INFO: Load model weights from ga_optimized_weights.pth 
2025-04-02 10:00:11,721 INFO: ====================Start training===================== 
2025-04-02 11:14:27,186 INFO: Epoch 199, Val_Loss: 0.8625 
2025-04-02 11:14:49,253 INFO: Epoch 200, Val_Loss: 0.8700 
2025-04-02 11:15:11,584 INFO: Epoch 201, Val_Loss: 0.9024 
2025-04-02 11:15:33,802 INFO: Epoch 202, Val_Loss: 0.8806 
2025-04-02 11:15:54,505 INFO: Epoch 203, Val_Loss: 0.8549 
2025-04-02 11:16:16,063 INFO: Epoch 204, Val_Loss: 1.0304 
2025-04-02 11:16:36,859 INFO: Epoch 205, Val_Loss: 0.8694 
2025-04-02 11:16:59,628 INFO: Epoch 206, Val_Loss: 0.9046 
2025-04-02 11:17:20,861 INFO: Epoch 207, Val_Loss: 0.8671 
2025-04-02 11:17:41,968 INFO: Epoch 208, Val_Loss: 0.9450 
2025-04-02 11:18:11,205 INFO: Epoch 209, Val_Loss: 0.8888 
2025-04-02 11:18:40,443 INFO: Epoch 210, Val_Loss: 0.9350 
2025-04-02 11:19:02,213 INFO: Epoch 211, Val_Loss: 0.8649 
2025-04-02 11:19:23,424 INFO: Epoch 212, Val_Loss: 0.9016 
2025-04-02 11:19:44,703 INFO: Epoch 213, Val_Loss: 0.9200 
2025-04-02 11:20:06,178 INFO: Epoch 214, Val_Loss: 0.8769 
2025-04-02 11:20:26,830 INFO: Epoch 215, Val_Loss: 0.9520 
2025-04-02 11:20:48,457 INFO: Epoch 216, Val_Loss: 0.9749 
2025-04-02 11:21:09,974 INFO: Epoch 217, Val_Loss: 0.9086 
2025-04-02 11:21:30,971 INFO: Epoch 218, Val_Loss: 0.8813 
2025-04-02 11:21:52,672 INFO: Epoch 219, Val_Loss: 0.8477 
2025-04-02 11:22:14,141 INFO: Epoch 220, Val_Loss: 0.8768 
2025-04-02 11:22:34,703 INFO: Epoch 221, Val_Loss: 1.0718 
2025-04-02 11:22:56,787 INFO: Epoch 222, Val_Loss: 0.8996 
2025-04-02 11:23:18,795 INFO: Epoch 223, Val_Loss: 0.9508 
2025-04-02 11:23:39,636 INFO: Epoch 224, Val_Loss: 0.9103 
2025-04-02 11:24:01,332 INFO: Epoch 225, Val_Loss: 0.8963 
2025-04-02 11:24:23,205 INFO: Epoch 226, Val_Loss: 0.8576 
2025-04-02 11:24:43,899 INFO: Epoch 227, Val_Loss: 0.9088 
2025-04-02 11:25:08,481 INFO: Epoch 228, Val_Loss: 0.9250 
2025-04-02 11:25:31,600 INFO: Epoch 229, Val_Loss: 0.8577 
2025-04-02 11:25:53,906 INFO: Epoch 230, Val_Loss: 0.9351 
2025-04-02 11:26:15,513 INFO: Epoch 231, Val_Loss: 0.8603 
2025-04-02 11:26:38,074 INFO: Epoch 232, Val_Loss: 0.9554 
2025-04-02 11:27:00,774 INFO: Epoch 233, Val_Loss: 0.8648 
2025-04-02 11:27:24,107 INFO: Epoch 234, Val_Loss: 0.8726 
2025-04-02 11:27:46,989 INFO: Epoch 235, Val_Loss: 0.8825 
2025-04-02 11:28:11,341 INFO: Epoch 236, Val_Loss: 0.9305 
2025-04-02 11:28:33,116 INFO: Epoch 237, Val_Loss: 0.8472 
2025-04-02 11:28:54,359 INFO: Epoch 238, Val_Loss: 0.9055 
2025-04-02 11:29:15,638 INFO: Epoch 239, Val_Loss: 0.8602 
2025-04-02 11:29:39,457 INFO: Epoch 240, Val_Loss: 0.8847 
2025-04-02 11:30:03,472 INFO: Epoch 241, Val_Loss: 0.8683 
2025-04-02 11:30:27,637 INFO: Epoch 242, Val_Loss: 0.8615 
2025-04-02 11:30:51,378 INFO: Epoch 243, Val_Loss: 0.9072 
